mph,lat,lon,bz_vz,bz_sp
42.875,42.328758,-83.887342,74.237,116.101
42.875,42.328758,-83.887342,90.048,52.859
43.496,42.328758,-83.887342,86.464,119.992
43.496,42.328615,-83.887342,79.965,111.014
43.496,42.328615,-83.887342,66.322,120.254
43.496,42.328615,-83.887342,99.448,53.666
43.496,42.32847,-83.887342,87.24,60.561
43.496,42.32847,-83.887342,77.77,110.678
43.496,42.32847,-83.887342,102.838,117.844
42.875,42.328325,-83.88734,88.061,111.543
42.253,42.328325,-83.88734,92.558,107.592
41.632,42.328325,-83.88734,78.527,113.233
40.389,42.32818,-83.88734,86.255,110.756
39.768,42.32818,-83.88734,84.986,118.996
38.525,42.32818,-83.88734,88.542,111.427
37.282,42.328032,-83.887338,75.477,111.092
36.04,42.328032,-83.887338,89.566,59.563
36.04,42.328032,-83.887338,61.241,59.415
36.04,42.328032,-83.887338,120.368,137.399
36.04,42.328032,-83.887338,99.947,112.579
34.797,42.328032,-83.887338,86.246,56.631
33.554,42.327882,-83.887338,60.344,123.77
31.69,42.327882,-83.887338,55.312,118.631
27.34,42.327882,-83.887338,89.137,124.743
22.369,42.327732,-83.88734,57.938,55.421
18.02,42.327732,-83.88734,87.415,112.156
17.398,42.327732,-83.88734,85.182,108.812
18.641,42.327582,-83.887343,106.578,56.406
22.369,42.327582,-83.887343,87.028,53.96
25.476,42.327582,-83.887343,83.092,117.631
29.204,42.327433,-83.887345,90.151,127.602
32.311,42.327433,-83.887345,128.887,113.553
34.175,42.327433,-83.887345,91.561,106.381
37.282,42.327288,-83.887345,86.796,114.986
39.146,42.327288,-83.887345,76.177,113.671
41.01,42.327288,-83.887345,94.144,61.601
42.875,42.327288,-83.887345,84.813,56.617
44.117,42.327288,-83.887345,52.019,109.72
45.981,42.327288,-83.887345,80.155,115.76
47.224,42.327147,-83.887347,63.575,61.009
48.467,42.327147,-83.887347,83.362,130.686
49.71,42.327147,-83.887347,94.111,118.457
49.088,42.327005,-83.887348,91.862,129.077
48.467,42.327005,-83.887348,50.799,48.564
47.846,42.327005,-83.887348,96.217,114.609
47.224,42.32686,-83.887347,90.678,128.382
47.224,42.32686,-83.887347,85.789,133.707
46.603,42.32686,-83.887347,93.749,114.013
46.603,42.326712,-83.887342,89.666,118.821
47.846,42.326712,-83.887342,84.191,110.912
47.846,42.326712,-83.887342,72.198,54.688
47.846,42.326557,-83.887338,91.958,56.321
47.224,42.326557,-83.887338,81.58,115.551
47.846,42.326557,-83.887338,81.76,83.858
47.224,42.326557,-83.887338,96.482,48.248
46.603,42.326557,-83.887338,83.623,117.454
47.224,42.326557,-83.887338,78.246,123.238
47.224,42.326403,-83.887333,76.502,61.753
47.846,42.326403,-83.887333,89.028,66.431
47.224,42.326403,-83.887333,89.137,114.809
47.846,42.32625,-83.887325,83.898,109.788
48.467,42.32625,-83.887325,59.357,56.013
49.088,42.32625,-83.887325,85.271,53.563
50.331,42.326102,-83.887313,88.735,113.112
50.952,42.326102,-83.887313,79.132,114.327
51.574,42.326102,-83.887313,94.818,50.504
52.195,42.325953,-83.887298,98.523,116.483
52.195,42.325953,-83.887298,89.652,118.42
52.195,42.325953,-83.887298,145.92,116.51
49.71,42.325807,-83.887278,102.266,115.202
